ZONE I=5, J=5
0.9 0.2 0.291561
0.925 0.2 0.268014
0.95 0.2 0.244468
0.975 0.2 0.220922
1 0.2 0.197375
ZONE I=5, J=5
0 0.2 0.833655
0.025 0.2 0.825381
0.05 0.2 0.817108
0.075 0.2 0.808834
0.1 0.2 0.800561
0 0.25 0.846579
0.025 0.25 0.8389
0.05 0.25 0.83122
0.075 0.25 0.823541
0.1 0.25 0.815862
0 0.3 0.859503
0.025 0.3 0.852418
0.05 0.3 0.845333
0.075 0.3 0.838248
0.1 0.3 0.831163
0 0.35 0.872427
0.025 0.35 0.865937
0.05 0.35 0.859446
0.075 0.35 0.852955
0.1 0.35 0.846464
0 0.4 0.885352
0.025 0.4 0.879455
0.05 0.4 0.873559
0.075 0.4 0.867662
0.1 0.4 0.861766
ZONE I=5, J=5
0.1 0.2 0.800561
0.125 0.2 0.790853
0.15 0.2 0.781144
0.175 0.2 0.771436
0.2 0.2 0.761727
0.1 0.25 0.815862
0.125 0.25 0.806831
0.15 0.25 0.797799
0.175 0.25 0.788767
0.2 0.25 0.779736
0.1 0.3 0.831163
0.125 0.3 0.822809
0.15 0.3 0.814454
0.175 0.3 0.806099
0.2 0.3 0.797744
0.1 0.35 0.846464
0.125 0.35 0.838786
0.15 0.35 0.831109
0.175 0.35 0.823431
0.2 0.35 0.815753
0.1 0.4 0.861766
0.125 0.4 0.854764
0.15 0.4 0.847763
0.175 0.4 0.840762
0.2 0.4 0.833761
ZONE I=5, J=5
0.2 0.2 0.761727
0.225 0.2 0.750424
0.25 0.2 0.73912
0.275 0.2 0.727816
0.3 0.2 0.716512
0.2 0.25 0.779736
0.225 0.25 0.769191
0.25 0.25 0.758646
0.275 0.25 0.748101
0.3 0.25 0.737556
0.2 0.3 0.797744
0.225 0.3 0.787958
0.25 0.3 0.778172
0.275 0.3 0.768386
0.3 0.3 0.7586
0.2 0.35 0.815753
0.225 0.35 0.806725
0.25 0.35 0.797698
0.275 0.35 0.788671
0.3 0.35 0.779643
0.2 0.4 0.833761
0.225 0.4 0.825492
0.25 0.4 0.817224
0.275 0.4 0.808955
0.3 0.4 0.800687
ZONE I=5, J=5
0.3 0.2 0.716512
0.325 0.2 0.703469
0.35 0.2 0.690425
0.375 0.2 0.677381
0.4 0.2 0.664337
0.3 0.25 0.737556
0.325 0.25 0.725347
0.35 0.25 0.713139
0.375 0.25 0.70093
0.4 0.25 0.688721
0.3 0.3 0.7586
0.325 0.3 0.747226
0.35 0.3 0.735853
0.375 0.3 0.724479
0.4 0.3 0.713105
0.3 0.35 0.779643
0.325 0.35 0.769105
0.35 0.35 0.758567
0.375 0.35 0.748028
0.4 0.35 0.73749
0.3 0.4 0.800687
0.325 0.4 0.790984
0.35 0.4 0.78128
0.375 0.4 0.771577
0.4 0.4 0.761874
ZONE I=5, J=5
0.4 0.2 0.664337
0.425 0.2 0.649439
0.45 0.2 0.634541
0.475 0.2 0.619644
0.5 0.2 0.604746
0.4 0.25 0.688721
0.425 0.25 0.674722
0.45 0.25 0.660724
0.475 0.25 0.646725
0.5 0.25 0.632727
0.4 0.3 0.713105
0.425 0.3 0.700006
0.45 0.3 0.686906
0.475 0.3 0.673807
0.5 0.3 0.660707
0.4 0.35 0.73749
0.425 0.35 0.725289
0.45 0.35 0.713089
0.475 0.35 0.700888
0.5 0.35 0.688688
0.4 0.4 0.761874
0.425 0.4 0.750573
0.45 0.4 0.739271
0.475 0.4 0.72797
0.5 0.4 0.716669
ZONE I=5, J=5
0.5 0.2 0.604746
0.525 0.2 0.58793
0.55 0.2 0.571114
0.575 0.2 0.554298
0.6 0.2 0.537482
0.5 0.25 0.632727
0.525 0.25 0.616853
0.55 0.25 0.600979
0.575 0.25 0.585105
0.6 0.25 0.569232
0.5 0.3 0.660707
0.525 0.3 0.645776
0.55 0.3 0.630844
0.575 0.3 0.615912
0.6 0.3 0.600981
0.5 0.35 0.688688
0.525 0.35 0.674698
0.55 0.35 0.660709
0.575 0.35 0.64672
0.6 0.35 0.63273
0.5 0.4 0.716669
0.525 0.4 0.703621
0.55 0.4 0.690574
0.575 0.4 0.677527
0.6 0.4 0.664479
