ZONE I=5, J=5
0.1875 0.75 0.97214 -0.97753 0.431177 
0.25 0.75 0.967294 -0.97753 0.0707372 
0 0.875 1 -0.858934 1 
0.0625 0.875 0.993366 -0.858934 0.930508 
0.125 0.875 0.98635 -0.858934 0.731689 
0.1875 0.875 0.978954 -0.858934 0.431177 
0.25 0.875 0.971177 -0.858934 0.0707372 
0 1 1 -0.279415 1 
0.0625 1 0.989719 -0.279415 0.930508 
0.125 1 0.979109 -0.279415 0.731689 
0.1875 1 0.968169 -0.279415 0.431177 
0.25 1 0.956899 -0.279415 0.0707372 
ZONE I=5, J=5
0.25 0.5 0.905042 0.14112 0.0707372 
0.3125 0.5 0.991358 0.14112 -0.299534 
0.375 0.5 1.01498 0.14112 -0.628174 
0.4375 0.5 0.975906 0.14112 -0.869507 
0.5 0.5 0.874138 0.14112 -0.989992 
0.25 0.625 0.945249 -0.571561 0.0707372 
0.3125 0.625 0.972695 -0.571561 -0.299534 
0.375 0.625 0.974613 -0.571561 -0.628174 
0.4375 0.625 0.951005 -0.571561 -0.869507 
0.5 0.625 0.901869 -0.571561 -0.989992 
0.25 0.75 0.967294 -0.97753 0.0707372 
0.3125 0.75 0.959921 -0.97753 -0.299534 
0.375 0.75 0.949228 -0.97753 -0.628174 
0.4375 0.75 0.935214 -0.97753 -0.869507 
0.5 0.75 0.91788 -0.97753 -0.989992 
0.25 0.875 0.971177 -0.858934 0.0707372 
0.3125 0.875 0.953037 -0.858934 -0.299534 
0.375 0.875 0.938823 -0.858934 -0.628174 
0.4375 0.875 0.928535 -0.858934 -0.869507 
0.5 0.875 0.922172 -0.858934 -0.989992 
0.25 1 0.956899 -0.279415 0.0707372 
0.3125 1 0.952043 -0.279415 -0.299534 
0.375 1 0.943398 -0.279415 -0.628174 
0.4375 1 0.930966 -0.279415 -0.869507 
0.5 1 0.914745 -0.279415 -0.989992 
ZONE I=5, J=5
0.5 0.5 0.874138 0.14112 -0.989992 
0.5625 0.5 0.273334 0.14112 -0.972884 
0.625 0.5 -0.272021 0.14112 -0.820559 
